uczelnia,slope,cagr,cagr_lo,cagr_hi,r2,early,recent,recent_vs_early,cagr_kohorta_ustalona
upwr,0.03978559669086503,0.04058764483890864,0.02537637077666255,0.05602457541635375,0.6885510343891724,2.050531914893617,2.792553191489362,1.3618677042801557,0.015967107245693724
sggw,0.04496500583654251,0.0459912556792772,0.034194365697552076,0.05792271090120926,0.8263892287460505,1.635,2.355,1.4403669724770642,0.0316015301790995
urk,0.04099517854024395,0.041847082309590666,0.022399172630356068,0.06166492694282022,0.5890793766951523,2.0833333333333335,2.761904761904762,1.3257142857142856,0.03550787482283191
uwm,0.039680244255917034,0.04047802217135699,0.021100035382651372,0.06022375585945672,0.5743388670427155,2.1914893617021276,3.0638297872340425,1.3980582524271845,0.03137724428546074
