author_a,author_b,weight
https://openalex.org/A5000140988,https://openalex.org/A5054514099,2
https://openalex.org/A5000140988,https://openalex.org/A5055703826,2
https://openalex.org/A5000140988,https://openalex.org/A5057954005,1
https://openalex.org/A5000140988,https://openalex.org/A5059545796,4
https://openalex.org/A5000140988,https://openalex.org/A5063488025,2
https://openalex.org/A5000140988,https://openalex.org/A5068624414,1
https://openalex.org/A5000140988,https://openalex.org/A5068660295,4
https://openalex.org/A5000140988,https://openalex.org/A5069523910,1
https://openalex.org/A5000140988,https://openalex.org/A5070487127,1
https://openalex.org/A5000140988,https://openalex.org/A5081841486,1
https://openalex.org/A5000140988,https://openalex.org/A5082731892,2
https://openalex.org/A5000140988,https://openalex.org/A5083301124,1
https://openalex.org/A5000140988,https://openalex.org/A5084723349,1
https://openalex.org/A5000140988,https://openalex.org/A5085628364,1
https://openalex.org/A5000140988,https://openalex.org/A5087202100,1
https://openalex.org/A5000140988,https://openalex.org/A5088228537,1
https://openalex.org/A5000140988,https://openalex.org/A5089188854,1
https://openalex.org/A5000140988,https://openalex.org/A5091728437,3
https://openalex.org/A5000140988,https://openalex.org/A5101756052,1
https://openalex.org/A5000140988,https://openalex.org/A5107184572,1
https://openalex.org/A5000140988,https://openalex.org/A5107964277,1
https://openalex.org/A5000140988,https://openalex.org/A5109009399,1
https://openalex.org/A5000140988,https://openalex.org/A5109120896,1
https://openalex.org/A5000140988,https://openalex.org/A5111556361,1
https://openalex.org/A5000140988,https://openalex.org/A5111820717,3
https://openalex.org/A5000140988,https://openalex.org/A5113537431,1
https://openalex.org/A5000140988,https://openalex.org/A5114136434,4
https://openalex.org/A5000140988,https://openalex.org/A5117604047,4
https://openalex.org/A5000140988,https://openalex.org/A5120282077,1
https://openalex.org/A5000142094,https://openalex.org/A5068916511,1
https://openalex.org/A5000144028,https://openalex.org/A5076996603,1
https://openalex.org/A5000160706,https://openalex.org/A5042193765,1
https://openalex.org/A5000170675,https://openalex.org/A5034174412,2
https://openalex.org/A5000185554,https://openalex.org/A5017209000,2
https://openalex.org/A5000185554,https://openalex.org/A5069677248,1
https://openalex.org/A5000185554,https://openalex.org/A5073755365,1
https://openalex.org/A5000187620,https://openalex.org/A5016926961,1
https://openalex.org/A5000192422,https://openalex.org/A5002014350,3
https://openalex.org/A5000192422,https://openalex.org/A5004018336,2
https://openalex.org/A5000192422,https://openalex.org/A5078970572,1
https://openalex.org/A5000192792,https://openalex.org/A5049673843,1
https://openalex.org/A5000206092,https://openalex.org/A5004018336,13
https://openalex.org/A5000206092,https://openalex.org/A5006023339,2
https://openalex.org/A5000206092,https://openalex.org/A5006419594,1
https://openalex.org/A5000206092,https://openalex.org/A5026832417,16
https://openalex.org/A5000206092,https://openalex.org/A5058676907,12
https://openalex.org/A5000206092,https://openalex.org/A5085380516,1
https://openalex.org/A5000206092,https://openalex.org/A5088138569,1
https://openalex.org/A5000211752,https://openalex.org/A5053029547,1
https://openalex.org/A5000235629,https://openalex.org/A5081554607,1
https://openalex.org/A5000242194,https://openalex.org/A5049437996,1
https://openalex.org/A5000248943,https://openalex.org/A5011610301,1
https://openalex.org/A5000261941,https://openalex.org/A5000698530,1
https://openalex.org/A5000270755,https://openalex.org/A5073755365,1
https://openalex.org/A5000289822,https://openalex.org/A5038537752,1
https://openalex.org/A5000290554,https://openalex.org/A5041566867,1
https://openalex.org/A5000293374,https://openalex.org/A5074805842,2
https://openalex.org/A5000299537,https://openalex.org/A5054965218,1
https://openalex.org/A5000304075,https://openalex.org/A5025806342,1
https://openalex.org/A5000304075,https://openalex.org/A5077475519,1
https://openalex.org/A5000305350,https://openalex.org/A5012472824,1
https://openalex.org/A5000307444,https://openalex.org/A5059405170,1
https://openalex.org/A5000308483,https://openalex.org/A5004018336,1
https://openalex.org/A5000308483,https://openalex.org/A5026832417,1
https://openalex.org/A5000309395,https://openalex.org/A5014345605,1
https://openalex.org/A5000309395,https://openalex.org/A5040090348,1
https://openalex.org/A5000309395,https://openalex.org/A5074523834,1
https://openalex.org/A5000322092,https://openalex.org/A5026902256,1
https://openalex.org/A5000323022,https://openalex.org/A5017067547,3
https://openalex.org/A5000328484,https://openalex.org/A5038537752,1
https://openalex.org/A5000331049,https://openalex.org/A5004610882,2
https://openalex.org/A5000331575,https://openalex.org/A5016926961,2
https://openalex.org/A5000338806,https://openalex.org/A5057499439,1
https://openalex.org/A5000366161,https://openalex.org/A5011986161,1
https://openalex.org/A5000366161,https://openalex.org/A5059593166,3
https://openalex.org/A5000366161,https://openalex.org/A5082731892,2
https://openalex.org/A5000375081,https://openalex.org/A5044426033,2
https://openalex.org/A5000375081,https://openalex.org/A5045691308,33
https://openalex.org/A5000375081,https://openalex.org/A5055136164,4
https://openalex.org/A5000375081,https://openalex.org/A5085904316,1
https://openalex.org/A5000383887,https://openalex.org/A5024731950,1
https://openalex.org/A5000384676,https://openalex.org/A5041566867,1
https://openalex.org/A5000386520,https://openalex.org/A5083749002,2
https://openalex.org/A5000393029,https://openalex.org/A5087222856,3
https://openalex.org/A5000398837,https://openalex.org/A5014330978,2
https://openalex.org/A5000414589,https://openalex.org/A5076996603,1
https://openalex.org/A5000421171,https://openalex.org/A5017809705,1
https://openalex.org/A5000441831,https://openalex.org/A5083867301,1
https://openalex.org/A5000443319,https://openalex.org/A5025450218,3
https://openalex.org/A5000443319,https://openalex.org/A5028407702,2
https://openalex.org/A5000444828,https://openalex.org/A5053293835,1
https://openalex.org/A5000450077,https://openalex.org/A5058217420,1
https://openalex.org/A5000452659,https://openalex.org/A5071054435,2
https://openalex.org/A5000454665,https://openalex.org/A5000603132,1
https://openalex.org/A5000454665,https://openalex.org/A5005843696,1
