"profil","stanowisko","jednostka","wydzial","h_index_scopus","h_index_wos","sum_IF","sum_SNIP","sum_MEiN"
"Monika Jurzak",NA,"Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",NA,NA,2.5,0.956,100
"Cezary Kabała","profesor","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",31,30,218.901,109.542,6835
"Agata Kaczmarek",NA,"Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",5,4,26.147,10.629,1578
"Waldemar Kamaj",NA,"Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",NA,NA,NA,NA,NA
"Anna Karczewska","profesor","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",24,22,137.831,61.024,3562
"Małgorzata Karolczak",NA,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",NA,NA,NA,NA,NA
"Dorota Kasowska",NA,"Katedra Botaniki i Ekologii Roślin","Wydział Przyrodniczo-Technologiczny",6,6,19.534,6.966,538
"Jarosław Kaszubkiewicz","profesor","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",8,8,25.323,12.453,1238
"Krzysztof Kawa",NA,"Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",2,1,3.304,2.012,480
"Dorota Kawałko","profesor uczelni","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",9,9,63.19,27.794,2224
"Anna Kmieć",NA,"Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",1,1,7.1,2.093,240
"Andrzej Kocowicz","adiunkt","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",10,10,72.289,27.915,2034
"Piotr Komarnicki","profesor uczelni","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",12,11,63.468,30.474,1837
"Kamil Kostyn","adiunkt","Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",16,16,105.179,39.942,2129
"Bogna Kosyk",NA,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",3,3,13.72,3.616,420
"Anna Koszelnik-Leszek","adiunkt","Katedra Botaniki i Ekologii Roślin","Wydział Przyrodniczo-Technologiczny",5,4,18.652,9.384,1028
