profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Aleksandra Koźmińska,dr inż.,adiunkt,"Katedra Botaniki, Fizjologii i Ochrony Roślin",Wydział Biotechnologii i Ogrodnictwa,0000-0002-3224-6377,,,,1.0,9.0,65.977,23.898,1991.0,44.0,UR1aa0e189c7744fa3ae3a79fffb03f358,https://repo.ur.krakow.pl/info/author/UR1aa0e189c7744fa3ae3a79fffb03f358?lang=pl&r=publication&tab=main,
Maciej Kuboń,prof. dr hab. inż.,profesor,"Katedra Inżynierii Produkcji, Logistyki i Informatyki Stosowanej",Wydział Inżynierii Produkcji i Energetyki,0000-0003-4847-8743,,,,17.0,20.0,175.9,82.507,10526.0,285.0,UR1997705c1d41437f95b3dd3792fd9f5a,https://repo.ur.krakow.pl/info/author/UR1997705c1d41437f95b3dd3792fd9f5a?lang=pl&r=publication&tab=main,
Bogdan Kulig,prof. dr hab. inż.,profesor,Katedra Agroekologii i Produkcji Roślinnej,Wydział Rolniczo-Ekonomiczny,0000-0002-5152-5064,,,,6.0,9.0,54.576,32.122,2812.0,112.0,UR51e5330b2573446b8ca1098beb00d3eb,https://repo.ur.krakow.pl/info/author/UR51e5330b2573446b8ca1098beb00d3eb?lang=pl&r=publication&tab=main,
Edward Kunicki,prof. dr hab. inż.,profesor,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0002-6467-6312,,,,11.0,10.0,54.82,24.326,1766.0,45.0,UR808829e0417c4178b17298397b23850f,https://repo.ur.krakow.pl/info/author/UR808829e0417c4178b17298397b23850f?lang=pl&r=publication&tab=main,
Halina Kurzawińska,prof. dr hab. inż.,profesor,"Katedra Botaniki, Fizjologii i Ochrony Roślin",Wydział Biotechnologii i Ogrodnictwa,0000-0002-9433-9149,,,,,4.0,4.006,3.924,330.0,46.0,UR9f9a4e4e575d4310b487dc4b3dadf9d4,https://repo.ur.krakow.pl/info/author/UR9f9a4e4e575d4310b487dc4b3dadf9d4?lang=pl&r=publication&tab=main,
Iwona Ledwożyw-Smoleń,dr inż.,adiunkt,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0003-1419-1162,,,,9.0,14.0,86.278,34.852,2309.0,62.0,UR289ff1d20da243f1bef8c6b53249aa7d,https://repo.ur.krakow.pl/info/author/UR289ff1d20da243f1bef8c6b53249aa7d?lang=pl&r=publication&tab=main,
"Anna Lenart-Boroń, prof. URK",dr hab. inż.,profesor uczelni,Katedra Mikrobiologii i Biomonitoringu,Wydział Rolniczo-Ekonomiczny,0000-0003-3655-7567,,,,16.0,16.0,227.744,74.829,6327.0,107.0,URb63a965b037f4652be9c28a503ad48a4,https://repo.ur.krakow.pl/info/author/URb63a965b037f4652be9c28a503ad48a4?lang=pl&r=publication&tab=main,
Andrzej Lepiarczyk,prof. dr hab. inż.,profesor,Katedra Agroekologii i Produkcji Roślinnej,Wydział Rolniczo-Ekonomiczny,0000-0002-7417-7349,,,,7.0,9.0,46.367,22.148,2134.0,100.0,UR989038dcdfc94873b0199fb238a4b808,https://repo.ur.krakow.pl/info/author/UR989038dcdfc94873b0199fb238a4b808?lang=pl&r=publication&tab=main,
Agnieszka Lis-Krzyścin,dr hab. inż.,adiunkt,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0002-6630-3245,,,,1.0,5.0,14.59,6.097,428.0,27.0,UR9472585afedb43e6bdf296084b067307,https://repo.ur.krakow.pl/info/author/UR9472585afedb43e6bdf296084b067307?lang=pl&r=publication&tab=main,
"Alicja Macko-Podgórni, prof. URK",dr inż.,profesor uczelni,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0003-2416-2808,,,,7.0,12.0,119.008,33.896,2879.0,40.0,UR1a0e41431ae945e397d028d232fffc33,https://repo.ur.krakow.pl/info/author/UR1a0e41431ae945e397d028d232fffc33?lang=pl&r=publication&tab=main,
