profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Katarzyna Sołek-Podwika,dr hab. inż.,adiunkt,Katedra Gleboznawstwa i Agrofizyki,Wydział Rolniczo-Ekonomiczny,0000-0003-2700-7758,,,,,5.0,26.049,11.614,705.0,22.0,UR7bec5430917447c7af2ea97b0d5bee14,https://repo.ur.krakow.pl/info/author/UR7bec5430917447c7af2ea97b0d5bee14?lang=pl&r=publication&tab=main,
Piotr Stolarczyk,dr,adiunkt,"Katedra Botaniki, Fizjologii i Ochrony Roślin",Wydział Biotechnologii i Ogrodnictwa,0000-0003-0089-7252,,,,2.0,12.0,122.934,36.166,3353.0,34.0,UR22f17ee4ec73495d96d3ccdde197bce6,https://repo.ur.krakow.pl/info/author/UR22f17ee4ec73495d96d3ccdde197bce6?lang=pl&r=publication&tab=main,
"Mateusz Suchanek, prof. URK",dr hab.,profesor uczelni,Katedra Gleboznawstwa i Agrofizyki,Wydział Rolniczo-Ekonomiczny,0000-0002-8187-4003,,,,,5.0,24.657,12.317,608.0,11.0,UR70ae12c618cf45f2aba421ab6f9f14ae,https://repo.ur.krakow.pl/info/author/UR70ae12c618cf45f2aba421ab6f9f14ae?lang=pl&r=publication&tab=main,
Paulina Supel,dr inż.,adiunkt,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0002-9533-741X,,,,2.0,6.0,50.719,18.16,1781.0,35.0,URae256404b00444ea9a6b3a78766cec1f,https://repo.ur.krakow.pl/info/author/URae256404b00444ea9a6b3a78766cec1f?lang=pl&r=publication&tab=main,
Magdalena Surma,prof. dr hab.,profesor,Katedra Technologii Produktów Roślinnych i Higieny Żywienia,Wydział Technologii Żywności,0000-0001-8266-1619,,,,1.0,18.0,122.522,48.189,3746.0,156.0,UR2156fad0cf6b425d9858094a9056e248,https://repo.ur.krakow.pl/info/author/UR2156fad0cf6b425d9858094a9056e248?lang=pl&r=publication&tab=main,
"Agnieszka Synowiec, prof. URK",dr hab. inż.,profesor uczelni,Katedra Agroekologii i Produkcji Roślinnej,Wydział Rolniczo-Ekonomiczny,0000-0001-6585-7759,,,,16.0,15.0,184.386,77.188,5455.0,225.0,URac41249364e34bcbb5652bcc9476322b,https://repo.ur.krakow.pl/info/author/URac41249364e34bcbb5652bcc9476322b?lang=pl&r=publication&tab=main,
Hajnalka Szentgyörgyi,,dr hab.,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,0000-0002-5753-800X,,,,5.0,7.0,28.671,9.33,431.0,13.0,UR2132dcfd1a2540f28b17abe1e6c3ba01,https://repo.ur.krakow.pl/info/author/UR2132dcfd1a2540f28b17abe1e6c3ba01?lang=pl&r=publication&tab=main,
"Wojciech Szewczyk, prof. URK",dr hab. inż.,profesor uczelni,Katedra Agroekologii i Produkcji Roślinnej,Wydział Rolniczo-Ekonomiczny,0000-0001-5065-2179,,,,4.0,6.0,39.69,18.41,2245.0,94.0,URd74a834ae6e44615aad3cc387aaeafde,https://repo.ur.krakow.pl/info/author/URd74a834ae6e44615aad3cc387aaeafde?lang=pl&r=publication&tab=main,
Bożena Szewczyk-Taranek,dr inż.,adiunkt,Katedra Roślin Ozdobnych i Sztuki Ogrodowej,Wydział Biotechnologii i Ogrodnictwa,0000-0003-0318-598X,,,,8.0,8.0,42.465,19.665,1401.0,77.0,UR246fbe21c95142d3b9338a0d7f144703,https://repo.ur.krakow.pl/info/author/UR246fbe21c95142d3b9338a0d7f144703?lang=pl&r=publication&tab=main,
Monika Szklarska-Łukasik,dr inż.,adiunkt,Katedra Gleboznawstwa i Agrofizyki,Wydział Rolniczo-Ekonomiczny,0000-0002-1187-7217,,,,,,1.0,0.539,70.0,1.0,URKce8591a731054170b3be25803da35965,https://repo.ur.krakow.pl/info/author/URKce8591a731054170b3be25803da35965?lang=pl&r=publication&tab=main,
Agnieszka M. Szymocha,dr,adiunkt naukowo-dydaktyczny,Katedra Gleboznawstwa i Agrofizyki,Wydział Rolniczo-Ekonomiczny,0000-0001-7443-2808,,,,,5.0,26.957,8.309,405.0,10.0,UR15621e49d4174e259e2a249ca516c1d3,https://repo.ur.krakow.pl/info/author/UR15621e49d4174e259e2a249ca516c1d3?lang=pl&r=publication&tab=main,
Monika Tabak,dr hab. inż.,adiunkt naukowo-dydaktyczny,Katedra Chemii Rolnej i Środowiskowej,Wydział Rolniczo-Ekonomiczny,0000-0003-4248-7972,,,,3.0,8.0,28.523,16.46,1425.0,105.0,URaf51d4fa09ab41098c5841408f1bd5f9,https://repo.ur.krakow.pl/info/author/URaf51d4fa09ab41098c5841408f1bd5f9?lang=pl&r=publication&tab=main,
"Tomasz Tarko, prof. URK",dr hab. inż.,profesor uczelni,Katedra Technologii Fermentacji i Mikrobiologii,Wydział Technologii Żywności,0000-0001-9166-1805,,,,17.0,23.0,146.005,57.173,4537.0,216.0,URfe020f49e5bf439299b015abc3a44d14,https://repo.ur.krakow.pl/info/author/URfe020f49e5bf439299b015abc3a44d14?lang=pl&r=publication&tab=main,
"Barbara Tokarz, prof. URK",dr hab. inż.,profesor uczelni,"Katedra Botaniki, Fizjologii i Ochrony Roślin",Wydział Biotechnologii i Ogrodnictwa,0000-0003-4131-8894,,,,1.0,16.0,118.366,35.851,2978.0,49.0,URf4912147ec234c40839c11f96a3f51c2,https://repo.ur.krakow.pl/info/author/URf4912147ec234c40839c11f96a3f51c2?lang=pl&r=publication&tab=main,
Ewelina Tomiak,dr inż.,asystent,Katedra Roślin Ozdobnych i Sztuki Ogrodowej,Wydział Biotechnologii i Ogrodnictwa,,,,,,4.0,5.158,2.878,183.0,14.0,UReb72cb5b7a084bf5abd0e9d925b2a9d2,https://repo.ur.krakow.pl/info/author/UReb72cb5b7a084bf5abd0e9d925b2a9d2?lang=pl&r=publication&tab=main,
Jacek Waga,dr inż.,adiunkt,"Katedra Fizjologii, Hodowli Roślin i Nasiennictwa",Wydział Rolniczo-Ekonomiczny,0000-0001-7882-1640,,,,1.0,3.0,32.771,7.363,520.0,6.0,UR4064c6490a6343dca4d3c1c8839d5d6a,https://repo.ur.krakow.pl/info/author/UR4064c6490a6343dca4d3c1c8839d5d6a?lang=pl&r=publication&tab=main,
"Tomasz Warzecha, prof. URK",dr hab. inż.,profesor uczelni,"Katedra Fizjologii, Hodowli Roślin i Nasiennictwa",Wydział Rolniczo-Ekonomiczny,0000-0002-7121-0123,,,,,10.0,61.628,22.513,1825.0,35.0,UR29a69709ece848649c386d0aef3bffb6,https://repo.ur.krakow.pl/info/author/UR29a69709ece848649c386d0aef3bffb6?lang=pl&r=publication&tab=main,
Wojciech Wesołowski,dr inż.,asystent,Katedra Biologii Roślin i Biotechnologii,Wydział Biotechnologii i Ogrodnictwa,0000-0002-0080-2041,,,,1.0,4.0,44.468,11.906,1165.0,14.0,URb920303ad012423d925c6c757faa510d,https://repo.ur.krakow.pl/info/author/URb920303ad012423d925c6c757faa510d?lang=pl&r=publication&tab=main,
"Jerzy Wieczorek, prof. URK",dr hab. inż.,profesor uczelni,Katedra Chemii Rolnej i Środowiskowej,Wydział Rolniczo-Ekonomiczny,0000-0001-7039-5974,,,,4.0,12.0,82.182,30.424,2315.0,64.0,UR12964ae019904081b9395a014763ae07,https://repo.ur.krakow.pl/info/author/UR12964ae019904081b9395a014763ae07?lang=pl&r=publication&tab=main,
"Anna Wisła-Świder, prof. URK",dr,profesor uczelni,Katedra Chemii,Wydział Technologii Żywności,0000-0001-8889-2960,,,,4.0,6.0,66.615,17.437,1885.0,17.0,UR6489d45e71644358b12abc0a0b06f845,https://repo.ur.krakow.pl/info/author/UR6489d45e71644358b12abc0a0b06f845?lang=pl&r=publication&tab=main,
"Alina Wiszniewska, prof. URK",dr hab. inż.,profesor uczelni,"Katedra Botaniki, Fizjologii i Ochrony Roślin",Wydział Biotechnologii i Ogrodnictwa,0000-0001-7737-819X,,,,1.0,16.0,103.462,37.039,2530.0,47.0,URd812621ca36945a1b10f46911829025d,https://repo.ur.krakow.pl/info/author/URd812621ca36945a1b10f46911829025d?lang=pl&r=publication&tab=main,
Barbara Wiśniowska-Kielian,prof. dr hab. inż.,profesor,Katedra Chemii Rolnej i Środowiskowej,Wydział Rolniczo-Ekonomiczny,0000-0003-4951-7484,,,,1.0,4.0,14.908,11.891,1050.0,89.0,UR8fe29d04b19c47f1bc92b6b5c1da4190,https://repo.ur.krakow.pl/info/author/UR8fe29d04b19c47f1bc92b6b5c1da4190?lang=pl&r=publication&tab=main,
"Teresa Witczak, prof. URK",dr hab. inż.,profesor uczelni,,Wydział Technologii Żywności,0000-0002-4860-9718,,,,3.0,14.0,117.946,43.156,3451.0,99.0,UR493b5b79396344b1bf5ceaf98239c281,https://repo.ur.krakow.pl/info/author/UR493b5b79396344b1bf5ceaf98239c281?lang=pl&r=publication&tab=main,
"Robert Witkowicz, prof. URK",dr hab. inż.,profesor uczelni,Katedra Agroekologii i Produkcji Roślinnej,Wydział Rolniczo-Ekonomiczny,0000-0003-4306-0030,,,,6.0,14.0,97.608,38.128,3475.0,112.0,URfb70611b23ed42d6ac02f228d8a64fa7,https://repo.ur.krakow.pl/info/author/URfb70611b23ed42d6ac02f228d8a64fa7?lang=pl&r=publication&tab=main,
Zofia Włodarczyk,dr hab. inż.,adiunkt,Katedra Roślin Ozdobnych i Sztuki Ogrodowej,Wydział Biotechnologii i Ogrodnictwa,,,,,1.0,3.0,9.196,4.552,504.0,25.0,URd7daa0f48c9a48278681f7c53ffc2b04,https://repo.ur.krakow.pl/info/author/URd7daa0f48c9a48278681f7c53ffc2b04?lang=pl&r=publication&tab=main,
Elżbieta Wojciechowicz-Żytko,dr hab. inż.,adiunkt,"Katedra Botaniki, Fizjologii i Ochrony Roślin",Wydział Biotechnologii i Ogrodnictwa,0000-0001-8137-3113,,,,,7.0,26.013,13.972,1068.0,82.0,UR6ab74e62225f4bc7a093f2e4df299bd0,https://repo.ur.krakow.pl/info/author/UR6ab74e62225f4bc7a093f2e4df299bd0?lang=pl&r=publication&tab=main,
"Renata Wojciechowska, prof. URK",dr hab. inż,profesor uczelni,"Katedra Botaniki, Fizjologii i Ochrony Roślin",Wydział Biotechnologii i Ogrodnictwa,0000-0001-7667-8000,,,,4.0,8.0,23.132,16.888,1031.0,51.0,UR8543b85dc12048aebde2239140c5d6cb,https://repo.ur.krakow.pl/info/author/UR8543b85dc12048aebde2239140c5d6cb?lang=pl&r=publication&tab=main,
Katarzyna Wolny-Koładka,prof. dr hab. inż.,profesor,Katedra Mikrobiologii i Biomonitoringu,Wydział Rolniczo-Ekonomiczny,0000-0003-2994-8842,,,,14.0,14.0,116.174,42.223,3650.0,76.0,UR4115e9b8004f4ecd998c1122ab948de5,https://repo.ur.krakow.pl/info/author/UR4115e9b8004f4ecd998c1122ab948de5?lang=pl&r=publication&tab=main,
Magdalena Wójcik-Jagła,dr inż.,adiunkt,"Katedra Fizjologii, Hodowli Roślin i Nasiennictwa",Wydział Rolniczo-Ekonomiczny,0000-0002-3485-4085,,,,9.0,12.0,75.63,26.19,1924.0,30.0,UR95fbc07c301049b1828416d13843f4e4,https://repo.ur.krakow.pl/info/author/UR95fbc07c301049b1828416d13843f4e4?lang=pl&r=publication&tab=main,
Tomasz Wójtowicz,dr inż.,adiunkt,"Katedra Fizjologii, Hodowli Roślin i Nasiennictwa",Wydział Rolniczo-Ekonomiczny,0000-0002-9703-3225,,,,3.0,6.0,38.523,13.319,1251.0,31.0,UR8e8b483ef95e44e39f1d9b88a7164944,https://repo.ur.krakow.pl/info/author/UR8e8b483ef95e44e39f1d9b88a7164944?lang=pl&r=publication&tab=main,
"Paweł Zadrożny, prof. URK",dr inż.,profesor uczelni,Katedra Gleboznawstwa i Agrofizyki,Wydział Rolniczo-Ekonomiczny,0000-0003-3736-2331,,,,2.0,8.0,64.061,27.518,2544.0,90.0,UR1de82ed5e61548ecaac78ab74c3b544e,https://repo.ur.krakow.pl/info/author/UR1de82ed5e61548ecaac78ab74c3b544e?lang=pl&r=publication&tab=main,
"Tomasz Zaleski, prof. URK",dr hab. inż.,profesor uczelni,Katedra Gleboznawstwa i Agrofizyki,Wydział Rolniczo-Ekonomiczny,0000-0002-9785-3784,,,,14.0,16.0,99.706,45.807,3186.0,142.0,UR0ab509a6de0145f890afee37903239c4,https://repo.ur.krakow.pl/info/author/UR0ab509a6de0145f890afee37903239c4?lang=pl&r=publication&tab=main,
Andrzej Zieliński,dr inż.,adiunkt,"Katedra Fizjologii, Hodowli Roślin i Nasiennictwa",Wydział Rolniczo-Ekonomiczny,0000-0003-1844-5553,,,,3.0,5.0,24.523,9.76,771.0,30.0,URce257e9bed1a42f98e10194b338980a1,https://repo.ur.krakow.pl/info/author/URce257e9bed1a42f98e10194b338980a1?lang=pl&r=publication&tab=main,
Piotr Zięba,mgr inż.,asystent,Katedra Ogrodnictwa,Wydział Biotechnologii i Ogrodnictwa,,,,,3.0,7.0,44.505,12.218,1128.0,11.0,UR1a62e7fc7f7c4893be7a925820ad0617,https://repo.ur.krakow.pl/info/author/UR1a62e7fc7f7c4893be7a925820ad0617?lang=pl&r=publication&tab=main,
