profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Tomasz Wojciechowski,dr,,,,0000-0002-2222-6866,,66084cf5-4b8e-4df1-8e25-2588d0b67a79,"inżynieria mechaniczna, rolnictwo i ogrodnictwo",,,66.7,,1700.0,24,09c81af2-c2b2-424c-b2ec-4cda600883bf,https://sciencerep.up.poznan.pl/entities/person/09c81af2-c2b2-424c-b2ec-4cda600883bf,
Grażyna Niedziela,mgr inż.,,,,0000-0001-6553-6023,,dbee04c9-e5ce-4e2f-ab28-88806d5c6b30,rolnictwo i ogrodnictwo,,,16.3,,540.0,6,024ca314-91a3-4ea2-87e2-ae22717d7389,https://sciencerep.up.poznan.pl/entities/person/024ca314-91a3-4ea2-87e2-ae22717d7389,
Tomasz Piechota,dr hab.,,,,0000-0001-5916-8658,,0e52a4c9-e428-48b9-aac1-e04fe9a7478f,rolnictwo i ogrodnictwo,,,13.5,,510.0,9,1bd644da-0c68-48fd-b33d-a6137c8c07c0,https://sciencerep.up.poznan.pl/entities/person/1bd644da-0c68-48fd-b33d-a6137c8c07c0,
Aleksander Stachowiak,dr hab.,,,,0000-0003-0618-8887,,d2604f2a-758d-4c6b-beac-96f91ba5caef,rolnictwo i ogrodnictwo,,,,,,0,a976d7a6-d36c-45de-9c75-4d0e7973d90c,https://sciencerep.up.poznan.pl/entities/person/a976d7a6-d36c-45de-9c75-4d0e7973d90c,
Zbigniew Karolewski,dr hab.,,Katedra Fitopatologii i Nasiennictwa,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0001-9310-6645,,45db11ce-0fc4-483a-bf6e-d4dcb3102394,rolnictwo i ogrodnictwo,,,26.3,,580.0,10,db0d8e24-2479-4645-9926-633ed5ee220d,https://sciencerep.up.poznan.pl/entities/person/db0d8e24-2479-4645-9926-633ed5ee220d,
Łukasz Mendyk,dr,,,,0000-0002-7066-6014,,15ce80f8-8e16-4139-ab0c-4c204d5ea2a3,"rolnictwo i ogrodnictwo, inżynieria środowiska, górnictwo i energetyka",,,23.9,,1010.0,11,5faead94-0897-4c16-8df9-81c0a29c49b2,https://sciencerep.up.poznan.pl/entities/person/5faead94-0897-4c16-8df9-81c0a29c49b2,
Beata Borowiak-Sobkowiak,dr hab.,,,,0000-0002-4485-7925,,35fddd12-09d0-4708-acb1-c9754b97e3f7,rolnictwo i ogrodnictwo,,,23.2,,1060.0,10,582c106e-162f-462d-9e8d-2724d83b4213,https://sciencerep.up.poznan.pl/entities/person/582c106e-162f-462d-9e8d-2724d83b4213,
Tamara Barbara Chadzinikolau,dr,,Katedra Fizjologii Roślin,"Wydział Rolnictwa, Ogrodnictwa i Biotechnologii",0000-0001-8283-8779,,43674e2d-9d5e-4bdd-b251-260b3a38f10c,rolnictwo i ogrodnictwo,,,15.8,,540.0,5,1925f9e9-b0be-433f-a409-271641cc7463,https://sciencerep.up.poznan.pl/entities/person/1925f9e9-b0be-433f-a409-271641cc7463,
Jarosław Zimny,dr,,,,0000-0001-6236-8562,,4092b22e-209f-4030-b9db-b3532edc043c,"nauki biologiczne, rolnictwo i ogrodnictwo",,,,,,0,f03cad1c-1b4e-459f-9f4c-28621d9dd63a,https://sciencerep.up.poznan.pl/entities/person/f03cad1c-1b4e-459f-9f4c-28621d9dd63a,
Karolina Gromadzka,dr hab.,,Katedra Chemii,Wydział Leśny i Technologii Drewna,0000-0002-7496-0325,,360efdad-5d39-44ae-acd8-6ee9cc5c99e4,"rolnictwo i ogrodnictwo, nauki chemiczne",,,41.7,,910.0,11,a2287f7b-73f4-4e60-9df6-9b6ddac0d546,https://sciencerep.up.poznan.pl/entities/person/a2287f7b-73f4-4e60-9df6-9b6ddac0d546,
