profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Józef Gruszka,,specjalista,,,,,,,,,,,0.0,0.0,2657,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2657?obiektId=Osoby,
Anna Gryboś,,doktorant,,,,,,,,,,,0.0,0.0,3689,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3689?obiektId=Osoby,
Paweł Grychnik,,doktorant,,,,,,,,,,,0.0,0.0,3465,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3465?obiektId=Osoby,
Anna Gryta,,starszy specjalista,,,,,,,,,,,0.0,0.0,2658,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2658?obiektId=Osoby,
Magdalena Gryzińska,,Profesor,,,0000-0002-5704-0578,23984608400,,,,,,,2994.0,201.0,181,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/181?obiektId=Osoby,
Stanisława Gryzio,,pracownik pomocniczy,,,,,,,,,,,0.0,0.0,2659,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2659?obiektId=Osoby,
Weronika Grzelak,,doktorant,,,,,,,,,,,0.0,0.0,3573,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3573?obiektId=Osoby,
Dariusz Grzesiak,,pracownik gospodarczy,,,,,,,,,,,0.0,0.0,2660,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2660?obiektId=Osoby,
Małgorzata Grzesiak,,redaktor techniczny,,,,,,,,,,,0.0,0.0,2661,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2661?obiektId=Osoby,
Halina Grzeszczyk,,pracownik pomocniczy,,,,,,,,,,,0.0,0.0,2663,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2663?obiektId=Osoby,
Maciej Grzybek,,Profesor uczelni,,,0000-0002-8780-0304,,,,,,,,1582.0,62.0,726,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/726?obiektId=Osoby,
Tadeusz Grzywacz,,pracownik wysoko wykwalifikowany,,,,,,,,,,,0.0,0.0,2664,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2664?obiektId=Osoby,
Grzegorz Grzywaczewski,,Profesor uczelni,,,0000-0003-1136-0768,8524971800,,,,,,,1266.0,152.0,356,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/356?obiektId=Osoby,
Antoni Grzywna,,Profesor uczelni,,,0000-0002-7105-7173,,,,,,,,1841.0,123.0,369,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/369?obiektId=Osoby,
Waldemar Gustaw,,Profesor,,,0000-0002-1746-582X,7801679560,,,,,,,3033.0,228.0,285,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/285?obiektId=Osoby,
Klaudia Gustaw,,adiunkt posiadający st. nauk. dr,,,0000-0002-9721-4325,57193206538,,,,,,,1688.0,58.0,1164,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1164?obiektId=Osoby,
Oliwia Gut,,referent,,,,,,,,,,,0.0,0.0,3501,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3501?obiektId=Osoby,
Gabriela Gutowska-Kurant,,doktorant,,,,,,,,,,,0.0,0.0,3570,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3570?obiektId=Osoby,
Leszek Guz,,Profesor uczelni,,,0000-0003-4978-5577,6602179394,,,,,,,2617.0,107.0,245,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/245?obiektId=Osoby,
Tomasz Guz,,adiunkt posiadający st. nauk. dr hab.,,,0000-0002-3361-4872,57090765900,,,,,,,1210.0,109.0,359,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/359?obiektId=Osoby,
Ewa Habza-Kowalska,,doktorant,,,,57205720366,,,,,,,742.0,32.0,953,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/953?obiektId=Osoby,
Agata Hahaj-Siembida,,asystent,,,,,,,,,,,570.0,21.0,3283,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3283?obiektId=Osoby,
Małgorzata Haliniarz,,Profesor uczelni,,,0000-0001-7363-9452,56507517500,,,,,,,2693.0,148.0,291,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/291?obiektId=Osoby,
Zofia Hanusz,,Profesor,,,0000-0002-0757-554X,23979681800,,,,,,,612.0,87.0,1047,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1047?obiektId=Osoby,
Paweł Harasim,,specjalista ds. informatyki,,,,56655100900,,,,,,,194.0,18.0,542,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/542?obiektId=Osoby,
Elżbieta Harasim,,Profesor uczelni,,,0000-0002-7893-7958,56263860200,,,,,,,3943.0,115.0,591,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/591?obiektId=Osoby,
Ryszard Haraszczuk,,pracownik wysoko wykwalifikowany,,,,,,,,,,,0.0,0.0,2756,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2756?obiektId=Osoby,
Wanda Harkot,,,,,,,,,,,,,276.0,151.0,98,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/98?obiektId=Osoby,
Grzegorz Hasiec,,specjalista,,,,,,,,,,,0.0,0.0,3618,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3618?obiektId=Osoby,
Joanna Hawlena,,Profesor uczelni,,,0000-0003-2547-7641,55531603500,,,,,,,3473.0,87.0,799,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/799?obiektId=Osoby,
Barbara Hawrylak-Nowak,,Profesor uczelni,,,0000-0002-2935-1491,24398995500,,,,,,,3887.0,109.0,513,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/513?obiektId=Osoby,
Klaudia Herman-Ostrzyżek,,asystent,,,0000000348447031,,,,,,,,0.0,0.0,3320,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3320?obiektId=Osoby,
Jerzy Hetman,,,,,,,,,,,,,455.0,341.0,63,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/63?obiektId=Osoby,
Beata Hetman,,,,,,,,,,,,,134.0,42.0,233,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/233?obiektId=Osoby,
Magdalena Hetman,,starszy specjalista,,,,,,,,,,,0.0,0.0,2757,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2757?obiektId=Osoby,
